112,111,918
1,0,150
117,116,602
176,213,177
150,177,214
57,314,58
216,106,105
956,1030,155
217,483,216
213,3,2
337,100,99
321,212,267
279,222,183
177,215,269
955,954,846
725,729,721
916,914,915
4,266,5
826,823,665
8,7,220
268,5,266
521,264,265
54,53,174
9,8,330
325,523,323
11,10,276
396,12,11
2,1,214
275,10,9
321,322,175
219,277,448
53,52,263
267,212,266
258,65,64
335,102,101
396,276,329
99,98,339
327,6,268
277,220,181
101,100,222
224,338,340
220,277,330
97,96,224
335,222,279
270,271,151
239,194,359
183,609,279
610,183,613
329,276,487
224,184,338
81,80,167
700,131,130
38,288,289
129,706,130
572,698,445
181,524,443
901,905,757
858,699,856
270,178,483
863,577,710
0,107,150
135,134,690
135,690,693
350,351,291
30,231,232
707,137,136
682,133,132
901,757,904
234,190,233
430,452,449
395,332,221
585,583,580
215,150,107
13,331,14
272,105,104
228,399,527
226,345,16
215,177,150
274,103,102
525,343,229
572,451,698
284,400,18
22,21,227
395,329,494
283,20,19
429,324,426
186,344,652
176,269,270
181,443,446
160,190,930
333,431,185
25,233,160
27,26,159
1031,614,223
25,24,233
1077,580,584
1039,225,1038
161,159,160
15,14,334
161,189,231
29,231,30
1068,1062,1063
159,161,28
336,183,222
227,287,22
609,497,611
331,221,332
327,7,6
16,15,226
357,358,293
579,582,713
711,864,710
79,246,80
1070,769,465
31,285,32
963,709,1041
484,328,273
128,127,578
120,119,593
534,528,537
25,160,26
715,717,878
160,159,26
534,529,533
552,553,188
285,286,346
1067,1083,581
236,36,35
512,191,499
806,534,537
715,122,121
18,17,284
591,593,588
364,365,297
774,554,555
288,38,37
118,588,119
466,929,804
39,404,40
37,36,348
977,873,587
620,618,192
360,95,94
496,1080,1086
221,13,12
402,401,20
138,966,139
321,175,212
1033,155,1030
215,216,178
92,239,93
139,710,140
216,105,272
276,10,275
194,239,356
216,215,106
557,514,195
150,214,1
267,213,176
90,89,295
213,214,177
362,89,88
269,215,178
88,87,241
29,28,161
895,893,459
473,470,467
143,142,747
141,976,142
691,133,681
700,575,574
988,478,987
32,346,33
899,148,147
69,252,70
106,215,107
146,756,147
930,607,774
747,748,892
515,247,248
755,984,986
411,1087,626
244,298,243
175,323,212
198,245,167
255,389,666
4,3,267
83,243,84
82,81,167
208,316,317
299,198,246
263,209,174
263,174,53
247,79,78
319,51,50
243,198,197
387,388,823
302,303,248
516,366,303
56,55,262
250,74,73
