142,77,76
1,0,114
171,55,54
164,244,242
126,205,162
216,114,171
167,210,246
170,53,168
158,72,71
170,54,53
167,74,166
164,4,3
6,5,126
141,86,100
162,205,87
165,209,163
52,168,53
100,86,280
169,128,168
161,8,7
178,223,48
86,124,280
124,86,247
50,49,223
87,101,157
77,100,78
30,201,31
72,101,73
209,166,101
194,134,193
99,222,106
211,76,75
142,100,77
218,129,130
167,211,74
23,22,140
171,114,55
214,213,141
208,206,5
71,160,158
204,158,159
7,156,161
220,277,175
9,176,10
66,104,219
152,113,151
8,161,273
105,143,144
99,106,79
12,198,117
14,116,15
81,146,107
262,283,251
117,118,116
15,116,118
83,82,263
10,172,11
81,80,146
156,7,6
105,91,143
69,103,70
183,38,182
31,202,32
59,265,268
18,17,200
175,104,220
86,213,247
219,175,68
200,17,199
144,66,65
104,66,144
95,137,185
63,152,64
209,101,87
19,270,20
64,105,65
245,163,127
267,256,257
154,199,118
160,103,203
156,126,125
147,276,110
78,100,99
174,69,68
79,78,99
222,280,178
146,106,145
80,79,106
155,123,120
145,92,192
30,29,123
141,142,102
274,273,161
92,145,106
149,150,111
84,83,108
85,148,110
44,181,180
262,251,227
56,85,110
45,179,46
48,47,133
180,134,179
26,231,27
43,42,119
123,122,120
240,266,241
181,43,119
28,27,121
181,119,225
38,37,182
183,39,38
42,41,119
36,229,37
272,284,147
16,15,118
154,118,115
108,272,148
225,41,40
275,185,109
25,187,188
81,107,82
121,27,122
35,137,36
268,61,60
184,40,39
270,132,20
97,241,266
257,256,112
58,112,59
153,115,117
140,197,236
21,20,132
105,64,152
63,62,113
110,95,275
113,62,150
140,98,195
113,149,98
132,191,234
283,263,107
59,112,265
57,56,109
177,19,18
258,185,252
12,117,13
201,123,155
13,117,116
16,199,17
25,24,187
14,13,116
189,33,32
265,112,269
25,188,26
122,27,231
62,61,150
122,123,121
0,55,114
170,171,54
29,28,121
29,121,123
113,98,151
198,12,11
109,56,110
190,33,189
58,57,257
117,115,118
162,157,125
48,133,178
85,84,148
169,52,51
127,243,210
217,89,203
129,277,221
89,217,218
172,130,129
239,104,143
131,271,270
233,91,151
233,191,132
194,235,46
178,133,92
180,45,44
107,193,93
137,186,229
226,227,250
136,250,227
224,134,180
34,190,252
186,137,95
197,140,195
138,230,188
31,201,202
139,232,190
22,21,234
149,195,98
214,102,246
212,128,169
102,142,76
100,142,141
270,271,91
131,238,239
105,144,65
104,144,143
192,92,133
107,145,193
106,146,80
107,146,145
272,147,148
284,135,186
108,148,84
110,148,147
196,111,264
197,196,138
111,150,61
113,150,149
98,191,233
105,151,91
113,152,63
105,152,151
153,198,172
279,129,221
278,154,115
238,200,237
281,253,254
241,97,139
126,156,6
161,156,125
158,101,72
217,203,103
71,70,160
101,158,157
130,273,89
125,157,204
103,160,70
158,160,159
204,161,125
159,203,274
157,162,87
125,126,162
5,206,126
164,163,208
244,3,2
163,164,127
210,167,165
73,166,74
101,166,73
167,166,165
165,245,210
211,167,102
169,168,52
170,168,128
50,247,51
128,212,88
215,128,88
164,242,127
128,215,170
216,1,114
172,10,176
153,172,129
174,103,69
68,175,174
67,219,68
174,173,217
220,104,90
173,174,175
273,176,9
172,176,130
200,177,18
270,177,131
222,178,92
223,178,124
180,179,45
194,179,134
44,43,181
134,224,93
119,41,225
249,180,248
182,37,229
183,182,135
226,183,135
183,250,184
183,184,39
184,248,225
35,228,137
190,34,33
276,186,95
135,182,229
187,24,236
188,187,138
230,138,96
231,120,122
202,189,32
190,189,139
139,97,232
252,185,228
98,140,191
140,22,234
133,47,235
193,134,93
145,192,193
193,192,194
192,133,235
179,194,46
196,195,149
195,196,197
111,196,149
138,196,96
187,197,138
23,236,24
172,198,11
117,198,153
118,199,16
200,199,154
237,200,154
177,200,131
123,201,30
202,201,155
202,155,259
189,202,139
89,273,274
160,203,159
158,204,157
161,204,159
206,205,126
163,87,205
208,5,4
205,206,163
1,216,2
260,170,215
206,208,163
4,164,208
163,209,87
166,209,165
